Date,AAPL,MSFT,NVDA,META
2024-08-19,225.39393615722656,419.8460998535156,129.96795654296875,527.8797607421875
2024-08-20,226.0125732421875,423.10302734375,127.2186508178711,525.33642578125
2024-08-21,225.90280151367188,422.4456787109375,128.4683380126953,533.744140625
2024-08-22,224.03692626953125,413.8899841308594,123.70951080322266,530.522705078125
2024-08-23,226.3418426513672,415.1250305175781,129.33811950683594,526.6031494140625
2024-08-26,226.68109130859375,411.83819580078125,126.42884063720703,519.7413330078125
2024-08-27,227.5292205810547,412.1867980957031,128.26840209960938,517.7266235351562
2024-08-28,225.99261474609375,408.95977783203125,125.57905578613281,515.412841796875
2024-08-29,229.28536987304688,411.4696960449219,117.56101989746094,516.8489379882812
2024-08-30,228.49710083007812,415.4736328125,119.34059143066406,519.9307861328125
